First Author,Last Author,Year,DOI,Journal,Species,Detection,Detection Notes,MUA Z-score Thresh. (STD),SWR Z-score Thresh. (STD),Animal Speed (cm/s),MUA smooth (ms),SWR smooth (ms),Min. Cells (#),SWR electrodes (#),SWR Low Band (Hz),SWR High Band (Hz),Min. Duration (ms),Max Duration (ms),Combine Events Thresh. (ms),Decoding,Time bin (ms),Position bin (cm),Place field smooth (cm),Trajectory,Decoding notes,Reconst. Error (cm),% Decoded,Spike sorting,Time bin step (ms),Shuffle Method,Shuffles (#),Sig. Thresh.,% Decoded denom.,Reconst. Error bin (ms)
Bendor,Wilson,2012,https://doi.org/10.1038/nn.3203,Nature Neuroscience,Rats,MUA,MUA,4,#N/A,"lower
quartile",15,#N/A,#N/A,#N/A,#N/A,#N/A,50,#N/A,50,Bayes,10,Not reported,Not reported,Weighted average,,Not reported,Not reported,Sorted,#N/A,none,#N/A,#N/A,#N/A,#N/A
Gupta,Redish,2010,https://doi.org/10.1016/j.neuron.2010.01.034,Neuron,Rats,SWR,SWR,#N/A,2,Not reported,#N/A,#N/A,3,>1,180,220,40,600,#N/A,"Custom Sequence
 detection
Bayes",10,3.5,#N/A,#N/A,,Not reported,10%,Sorted,10,Within-event spike-time shuffle; cell-ID shuffle,300,95th percentile (both),candidate events,#N/A
Karlsson,Frank,2009,https://doi.org/10.1038/nn.2344,Nature Neuroscience,Rats,SWR,SWR,#N/A,3,2,#N/A,4,5,1,150,250,15,#N/A,#N/A,Bayes,15,2,4,Linear regression,,Not reported,47%,Sorted,15,Time-bin order shuffle; cell-ID shuffle (control),10000,p<0.05,candidate events,#N/A
Davidson,Wilson,2009,https://doi.org/10.1016/j.neuron.2009.07.027,Neuron,Rats,MUA,MUA,3,#N/A,5,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Bayes,20,10,5,Radon transform,,"7 cm, 9 cm, 8 cm, 8 cm for each rat",16%,Sorted,20,Column-cycle shuffle; unit-identity shuffle; pseudoevent shuffle,1500,p<0.01 under all three,candidate events,500
Diba,Buzsáki,2007,https://doi.org/10.1038/nn1961,Nature Neuroscience,Rats,MUA,"MUA
Detected spiking silent periods (>=60 ms)
If >=5 cells (or >30%) spiked in the next 300 ms,
this was an event",#N/A,#N/A,10,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Rank order correlation,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Cell-ID shuffle,500,95th percentile,#N/A,#N/A
Ji,Wilson,2007,https://doi.org/10.1038/nn1825,Nature Neuroscience,Rats,MUA,"MUA
spike count threshold determined empirically from distribution
events were merged if smaller than frame gap threshold",Adaptive,#N/A,#N/A,30,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Template matching,#N/A,2,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Analytic combinatorial match probability; template cell-ID shuffle (population-level),#N/A,p<0.05,#N/A,#N/A
Foster,Wilson,2006,https://doi.org/10.1038/nature04587,Nature,Rats,MUA,"MUA
spikes separated by more than 50 ms",#N/A,#N/A,#N/A,#N/A,#N/A,33%,#N/A,#N/A,#N/A,#N/A,500,#N/A,Rank order correlation,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Cell-order permutation,100,p<0.05,#N/A,#N/A
Lee,Wilson,2002,https://doi.org/10.1016/S0896-6273(02)01096-6,Neuron,Rats,MUA,"MUA
spikes grouped within a cell by max_isi (50 ms), bursts split between cells by max_gap (100 ms)
REM identified by theta (5-12 Hz) to total power ratio; SWS is the remainder
visual inspection of animal state",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,Template matching,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Shuffled RUN template sequences; cell-shuffled templates,#N/A,match probability <=1/24,#N/A,#N/A
Nádasdy,Buzsáki,1999,https://doi.org/10.1523/JNEUROSCI.19-21-09497.1999,Journal of Neuroscience,Rats,SWR,SWR,#N/A,7,#N/A,#N/A,#N/A,#N/A,#N/A,150,250,#N/A,#N/A,#N/A,Template matching,10,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,ISI shuffle; temporal jitter; across-train shuffle; phase-invariant shuffle,100,p<0.01,#N/A,#N/A
Kudrimoti,McNaughton,1999,https://doi.org/10.1523/JNEUROSCI.19-10-04090.1999,Journal of Neuroscience,Rats,SWR,"SWR
visual inspection of animal state",#N/A,Not reported,#N/A,#N/A,#N/A,#N/A,1,100,300,25,#N/A,#N/A,"Correlation, 100 ms bins",100,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,100,none,#N/A,#N/A,#N/A,#N/A
