condition,ripple_snr,n_channels,carrier_fraction,seed,detector,runtime_s,n_events,error,recall,precision,onset_ms,offset_ms,threshold_parameter,threshold_value
ripples,1.5,4,1.0,1,Long_sharp_wave_ripple_detector,0.16345216700574383,21,,0.325,0.6190476190476191,23.44804435908543,-27.372952301661257,,
ripples,1.5,4,1.0,1,Carey_candidate_detector,0.15251162502681836,36,,0.875,0.9722222222222222,-2.9843368378266177,6.798730401555986,,
ripples,1.5,4,1.0,1,multiunit_HSE_detector,0.07143287494545802,51,,1.0,0.7843137254901961,-16.680403148341405,14.12102463110898,,
ripples,1.5,4,1.0,2,Kay_ripple_detector,0.027137542027048767,42,,0.1,0.09523809523809523,14.416268821202394,-32.01511523273215,,
ripples,1.5,4,1.0,2,Karlsson_ripple_detector,0.043248542002402246,3,,0.025,0.3333333333333333,7.496695334687331,-31.31796104068485,,
ripples,1.5,4,1.0,2,Roumis_ripple_detector,0.03312733396887779,52,,0.25,0.19230769230769232,17.37322699593591,-18.6438560050064,,
ripples,1.5,4,1.0,2,Shvartsman_ripple_detector,0.04169237503083423,0,,0.0,,,,,
ripples,1.5,4,1.0,2,Yu_ripple_detector,0.04777870804537088,24,,0.15,0.25,21.996613863457526,-15.038560801404977,,
ripples,1.5,4,1.0,2,Zugaro_ripple_detector,0.009215124999172986,25,,0.075,0.12,28.83002866802542,-1.021037782130918,,
ripples,1.5,4,1.0,2,Long_sharp_wave_ripple_detector,0.162649208039511,21,,0.375,0.7142857142857143,9.815553350641437,-12.032229653215154,,
ripples,1.5,4,1.0,2,Carey_candidate_detector,0.15260008402401581,38,,0.95,1.0,-2.4890752990600618,4.517130470013342,,
ripples,1.5,4,1.0,2,multiunit_HSE_detector,0.06996758299646899,44,,1.0,0.9090909090909091,-13.019628049477205,10.38046828795558,,
ripples,1.5,16,1.0,0,Kay_ripple_detector,0.07016770902555436,48,,0.2,0.16666666666666666,22.077509612387303,-5.604287725372359,,
ripples,1.5,16,1.0,0,Karlsson_ripple_detector,0.17009183298796415,31,,0.175,0.22580645161290322,6.370398827343138,-15.139011876762254,,
